*************************************************************************
*************************************************************************
   STATISTICS FROM DNS OF TURBULENT COUETTE FLOW AT RETAU = 171

 References: 

 S. Pirozzoli, M. Bernardini and P. Orlandi, "Turbulence statistics in Couette flow at high Reynolds number'', Journal of Fluid Mechanics 742, in press (2014)

*************************************************************************
*************************************************************************
*
* Date of file: October 03, 2014
*
 ***********************************
 Wall-normal profiles:
 ***********************************

        y                y+              U+              u'+             v'+             w'+            u'v'+
   0.2081773E+00   0.3548313E+02   0.1376793E+02   0.2496147E+01   0.9533127E+00   0.1462076E+01  -0.9219686E+00
   0.2164153E+00   0.3688727E+02   0.1387384E+02   0.2472617E+01   0.9669111E+00   0.1463244E+01  -0.9266312E+00
   0.2248796E+00   0.3832998E+02   0.1397625E+02   0.2449745E+01   0.9798014E+00   0.1463907E+01  -0.9308917E+00
   0.2335721E+00   0.3981159E+02   0.1407540E+02   0.2427597E+01   0.9919926E+00   0.1464092E+01  -0.9347830E+00
   0.2424947E+00   0.4133241E+02   0.1417155E+02   0.2406226E+01   0.1003498E+01   0.1463825E+01  -0.9383398E+00
   0.2516489E+00   0.4289272E+02   0.1426490E+02   0.2385675E+01   0.1014331E+01   0.1463131E+01  -0.9415933E+00
   0.2610362E+00   0.4449275E+02   0.1435567E+02   0.2365975E+01   0.1024509E+01   0.1462036E+01  -0.9445718E+00
   0.2706578E+00   0.4613271E+02   0.1444406E+02   0.2347144E+01   0.1034052E+01   0.1460565E+01  -0.9473011E+00
   0.2805147E+00   0.4781279E+02   0.1453024E+02   0.2329195E+01   0.1042980E+01   0.1458741E+01  -0.9498035E+00
   0.2906078E+00   0.4953313E+02   0.1461438E+02   0.2312132E+01   0.1051316E+01   0.1456590E+01  -0.9521012E+00
   0.3009377E+00   0.5129383E+02   0.1469665E+02   0.2295950E+01   0.1059085E+01   0.1454139E+01  -0.9542137E+00
   0.3115048E+00   0.5309496E+02   0.1477718E+02   0.2280636E+01   0.1066312E+01   0.1451417E+01  -0.9561592E+00
   0.3223093E+00   0.5493653E+02   0.1485610E+02   0.2266171E+01   0.1073024E+01   0.1448454E+01  -0.9579555E+00
   0.3333510E+00   0.5681857E+02   0.1493352E+02   0.2252528E+01   0.1079247E+01   0.1445269E+01  -0.9596189E+00
   0.3446298E+00   0.5874099E+02   0.1500956E+02   0.2239673E+01   0.1085008E+01   0.1441883E+01  -0.9611655E+00
   0.3561449E+00   0.6070371E+02   0.1508430E+02   0.2227573E+01   0.1090335E+01   0.1438315E+01  -0.9626044E+00
   0.3678958E+00   0.6270662E+02   0.1515785E+02   0.2216192E+01   0.1095255E+01   0.1434584E+01  -0.9639416E+00
   0.3798814E+00   0.6474951E+02   0.1523028E+02   0.2205491E+01   0.1099794E+01   0.1430707E+01  -0.9651832E+00
   0.3921003E+00   0.6683219E+02   0.1530167E+02   0.2195429E+01   0.1103975E+01   0.1426700E+01  -0.9663394E+00
   0.4045510E+00   0.6895437E+02   0.1537208E+02   0.2185962E+01   0.1107823E+01   0.1422580E+01  -0.9674185E+00
   0.4172318E+00   0.7111576E+02   0.1544157E+02   0.2177051E+01   0.1111361E+01   0.1418365E+01  -0.9684242E+00
   0.4301406E+00   0.7331602E+02   0.1551019E+02   0.2168661E+01   0.1114612E+01   0.1414076E+01  -0.9693633E+00
   0.4432750E+00   0.7555473E+02   0.1557799E+02   0.2160759E+01   0.1117596E+01   0.1409735E+01  -0.9702473E+00
   0.4566326E+00   0.7783149E+02   0.1564500E+02   0.2153311E+01   0.1120336E+01   0.1405365E+01  -0.9710871E+00
   0.4702103E+00   0.8014577E+02   0.1571127E+02   0.2146288E+01   0.1122851E+01   0.1400987E+01  -0.9718844E+00
   0.4840053E+00   0.8249709E+02   0.1577682E+02   0.2139661E+01   0.1125161E+01   0.1396618E+01  -0.9726378E+00
   0.4980140E+00   0.8488483E+02   0.1584169E+02   0.2133409E+01   0.1127283E+01   0.1392270E+01  -0.9733476E+00
   0.5122329E+00   0.8730839E+02   0.1590591E+02   0.2127510E+01   0.1129232E+01   0.1387956E+01  -0.9740192E+00
   0.5266581E+00   0.8976711E+02   0.1596949E+02   0.2121941E+01   0.1131024E+01   0.1383688E+01  -0.9746547E+00
   0.5412853E+00   0.9226026E+02   0.1603246E+02   0.2116672E+01   0.1132675E+01   0.1379485E+01  -0.9752520E+00
   0.5561103E+00   0.9478713E+02   0.1609485E+02   0.2111677E+01   0.1134196E+01   0.1375362E+01  -0.9758097E+00
   0.5711282E+00   0.9734690E+02   0.1615667E+02   0.2106937E+01   0.1135599E+01   0.1371327E+01  -0.9763321E+00
   0.5863344E+00   0.9993874E+02   0.1621794E+02   0.2102442E+01   0.1136893E+01   0.1367390E+01  -0.9768291E+00
   0.6017235E+00   0.1025618E+03   0.1627869E+02   0.2098180E+01   0.1138089E+01   0.1363559E+01  -0.9773083E+00
   0.6172901E+00   0.1052150E+03   0.1633894E+02   0.2094134E+01   0.1139198E+01   0.1359843E+01  -0.9777687E+00
   0.6330288E+00   0.1078976E+03   0.1639871E+02   0.2090288E+01   0.1140231E+01   0.1356241E+01  -0.9782058E+00
   0.6489335E+00   0.1106085E+03   0.1645802E+02   0.2086630E+01   0.1141195E+01   0.1352752E+01  -0.9786167E+00
   0.6649981E+00   0.1133467E+03   0.1651687E+02   0.2083153E+01   0.1142097E+01   0.1349383E+01  -0.9790010E+00
   0.6812164E+00   0.1161111E+03   0.1657530E+02   0.2079854E+01   0.1142945E+01   0.1346151E+01  -0.9793606E+00
   0.6975819E+00   0.1189005E+03   0.1663330E+02   0.2076735E+01   0.1143743E+01   0.1343075E+01  -0.9797005E+00
   0.7140878E+00   0.1217139E+03   0.1669089E+02   0.2073795E+01   0.1144496E+01   0.1340165E+01  -0.9800236E+00
   0.7307271E+00   0.1245500E+03   0.1674810E+02   0.2071028E+01   0.1145209E+01   0.1337419E+01  -0.9803274E+00
   0.7474929E+00   0.1274077E+03   0.1680495E+02   0.2068416E+01   0.1145883E+01   0.1334832E+01  -0.9806075E+00
   0.7643778E+00   0.1302856E+03   0.1686145E+02   0.2065951E+01   0.1146519E+01   0.1332402E+01  -0.9808639E+00
   0.7813743E+00   0.1331826E+03   0.1691763E+02   0.2063643E+01   0.1147117E+01   0.1330141E+01  -0.9811010E+00
   0.7984748E+00   0.1360974E+03   0.1697350E+02   0.2061501E+01   0.1147673E+01   0.1328065E+01  -0.9813206E+00
   0.8156717E+00   0.1390285E+03   0.1702907E+02   0.2059527E+01   0.1148187E+01   0.1326190E+01  -0.9815215E+00
   0.8329569E+00   0.1419747E+03   0.1708436E+02   0.2057716E+01   0.1148657E+01   0.1324521E+01  -0.9817039E+00
   0.8503225E+00   0.1449346E+03   0.1713939E+02   0.2056066E+01   0.1149082E+01   0.1323052E+01  -0.9818709E+00
   0.8677603E+00   0.1479068E+03   0.1719420E+02   0.2054580E+01   0.1149463E+01   0.1321773E+01  -0.9820231E+00
   0.8852620E+00   0.1508900E+03   0.1724881E+02   0.2053263E+01   0.1149799E+01   0.1320672E+01  -0.9821582E+00
   0.9028194E+00   0.1538825E+03   0.1730325E+02   0.2052121E+01   0.1150091E+01   0.1319743E+01  -0.9822739E+00
   0.9204240E+00   0.1568832E+03   0.1735754E+02   0.2051158E+01   0.1150337E+01   0.1318984E+01  -0.9823679E+00
   0.9380673E+00   0.1598904E+03   0.1741172E+02   0.2050377E+01   0.1150537E+01   0.1318387E+01  -0.9824364E+00
   0.9557407E+00   0.1629028E+03   0.1746581E+02   0.2049784E+01   0.1150691E+01   0.1317943E+01  -0.9824794E+00
   0.9734358E+00   0.1659189E+03   0.1751984E+02   0.2049388E+01   0.1150800E+01   0.1317647E+01  -0.9825017E+00
   0.9911438E+00   0.1689371E+03   0.1757383E+02   0.2049193E+01   0.1150864E+01   0.1317499E+01  -0.9825097E+00
